"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","Individual","Duration"
158.333333333333,17.4166666666667,175.583333333333,52.5833333333333,200.583333333333,38.6666666666667,107.916666666667,75.25,222.333333333333,216.916666666667,66.4166666666667,107.666666666667,144.583333333333,211.666666666667,48.25,82.6666666666667,101,125.5,124.083333333333,177.666666666667,36.75,184.25,119.083333333333,52,126.666666666667,205.583333333333,213.583333333333,191,173.5,58.5,42.25,56.1666666666667,130.25,7.5,68.25,133.583333333333,122.5,59.5,196.583333333333,150.916666666667,37.6666666666667,141.5,0,165.583333333333,134.166666666667,192.333333333333,120.916666666667,178.75,25.0833333333333,255,224.5,144.75,19,151.416666666667,143.25,119.5,52.3333333333333,100.75,32.5,219.833333333333,154.333333333333,65.1666666666667,7.33333333333333,148.333333333333,202.25,53.8333333333333,65.8333333333333,73.75,206.166666666667,66.75,192.416666666667,112.5,255,119,89.8333333333333,58,62.0833333333333,109.416666666667,165.833333333333,218.166666666667,51.3333333333333,199.333333333333,237.083333333333,243.416666666667,233.166666666667,139.416666666667,168,158.416666666667,21.4166666666667,1.25,18.5833333333333,254.583333333333,164.666666666667,212.583333333333,55,165.083333333333,179.25,20.8333333333333,244.833333333333,143,173.5,45.75,37,103.583333333333,155.333333333333,255,49.75,125.833333333333,76.9166666666667,219.916666666667,67.5,63.1666666666667,25.0833333333333,2,231,46.9166666666667,123.833333333333,25,7,198.25,209.916666666667,78.9166666666667,58.25,148.75,163.333333333333,236.583333333333,175.75,255,"CR_01",12
158,16,172,59.5,199.666666666667,44.8333333333333,108.583333333333,68.6666666666667,210.166666666667,211.833333333333,69.3333333333333,102.5,136.583333333333,204.083333333333,53,82.9166666666667,117.083333333333,126.666666666667,128.25,171,36.5,184.5,124.583333333333,62.8333333333333,115.666666666667,199.333333333333,209.666666666667,174.916666666667,161.25,75.5833333333333,49.5833333333333,59.9166666666667,143.583333333333,1.58333333333333,86,108.166666666667,138.333333333333,67.3333333333333,183.666666666667,131.333333333333,54.6666666666667,151.833333333333,1,181.5,134.583333333333,178.166666666667,135.5,179,45.9166666666667,255,215.916666666667,150.916666666667,48.3333333333333,143.666666666667,183.333333333333,116,65.0833333333333,102.833333333333,48.25,204.416666666667,165.25,54.8333333333333,23.5833333333333,155.833333333333,199.666666666667,68.8333333333333,91.6666666666667,82.3333333333333,222.416666666667,71.1666666666667,191.5,105.75,251.916666666667,120.666666666667,86.5833333333333,43.75,53.8333333333333,124.416666666667,172.5,220.166666666667,31.8333333333333,170.75,226.75,219.833333333333,222.083333333333,99.75,174.916666666667,172.25,37.25,6.41666666666667,36.9166666666667,248.416666666667,138.333333333333,193.583333333333,65,185.25,148.833333333333,23.6666666666667,213.583333333333,136.416666666667,180.75,44.9166666666667,39.8333333333333,100.583333333333,134,255,55.5833333333333,138.833333333333,100.583333333333,228.833333333333,94.8333333333333,52.0833333333333,19,19.0833333333333,198.916666666667,86.6666666666667,155,56.8333333333333,2.75,200.75,200.666666666667,64,27.9166666666667,138.25,186,180.166666666667,178.916666666667,255,"CR_01",12
156.272727272727,13.4545454545455,174.909090909091,50.5454545454545,205.545454545455,44.0909090909091,113.090909090909,70.6363636363636,222.181818181818,220.454545454545,71.2727272727273,110.181818181818,156.454545454545,230.727272727273,33.3636363636364,77.9090909090909,103.363636363636,152.181818181818,155.545454545455,217.454545454545,46.6363636363636,153.818181818182,124.818181818182,51.0909090909091,140.727272727273,193.909090909091,207.545454545455,226.818181818182,214.636363636364,57.6363636363636,6.45454545454545,23.5454545454545,122.363636363636,4.90909090909091,80.3636363636364,143.181818181818,81,61.1818181818182,226.363636363636,166.272727272727,16.1818181818182,157.727272727273,0,190.454545454545,173.909090909091,157.454545454545,105.909090909091,189.454545454545,14.0909090909091,255,252.636363636364,175,6.90909090909091,142,178.363636363636,141.181818181818,72.0909090909091,121.909090909091,12.9090909090909,222.545454545455,114.909090909091,52.4545454545455,2.27272727272727,144.545454545455,195.636363636364,45.0909090909091,75.8181818181818,51.7272727272727,221.545454545455,55.3636363636364,208.363636363636,127.818181818182,255,142.636363636364,81.5454545454545,21.0909090909091,49.5454545454545,60.7272727272727,147.636363636364,247,24.7272727272727,135.818181818182,235.909090909091,245,250.090909090909,138.090909090909,184.636363636364,114.454545454545,7.63636363636364,0,13.2727272727273,255,149.181818181818,220.363636363636,74.6363636363636,130.727272727273,234.818181818182,0,248.090909090909,132.727272727273,159.454545454545,66.4545454545455,5.45454545454545,137.272727272727,239.272727272727,255,56.1818181818182,194.909090909091,97,180.181818181818,41.3636363636364,86.5454545454545,55,0,249.818181818182,52.9090909090909,148.090909090909,7.72727272727273,0,242,145.272727272727,75.5454545454545,66.1818181818182,157.454545454545,160.727272727273,214,227.363636363636,255,"CR_01",11
154.454545454545,14.5454545454545,174.181818181818,44.0909090909091,211.727272727273,37.3636363636364,103.636363636364,70.6363636363636,230.818181818182,220,55.3636363636364,118.727272727273,160.272727272727,228.363636363636,32.9090909090909,88.3636363636364,94.8181818181818,145.272727272727,142.454545454545,200.636363636364,39.3636363636364,163,106.909090909091,47.8181818181818,159.090909090909,203.181818181818,231.363636363636,226.545454545455,200.363636363636,41.5454545454545,25.8181818181818,30.4545454545455,119.363636363636,0.363636363636364,58.4545454545455,119.818181818182,76.8181818181818,61.3636363636364,216.181818181818,157.545454545455,16.9090909090909,142.090909090909,0,181.090909090909,154.727272727273,173.909090909091,88.5454545454545,180.090909090909,6.72727272727273,255,246,186.727272727273,10.5454545454545,182.909090909091,157.272727272727,145.181818181818,57.9090909090909,97.7272727272727,12.5454545454545,236.545454545455,151.272727272727,46.1818181818182,0,182.727272727273,200.181818181818,52,66.6363636363636,67,210.727272727273,79.0909090909091,201.727272727273,123.909090909091,255,77.3636363636364,85,39.3636363636364,50.9090909090909,76.6363636363636,139,244.272727272727,28.3636363636364,145.727272727273,239.909090909091,251.090909090909,254,141.909090909091,186.454545454545,117.090909090909,12.7272727272727,0,21,253.727272727273,124.272727272727,242.454545454545,67,135.818181818182,222.181818181818,5.90909090909091,248.818181818182,140,172.909090909091,94.4545454545455,8.81818181818182,124.090909090909,209.818181818182,255,36.3636363636364,179.727272727273,25.6363636363636,226.181818181818,57.3636363636364,56.6363636363636,26.4545454545455,0,249.545454545455,59.1818181818182,161.090909090909,18.9090909090909,7.81818181818182,249.363636363636,183.090909090909,61.8181818181818,37.1818181818182,174.727272727273,178.545454545455,234.545454545455,220.727272727273,255,"CR_01",11
156.272727272727,18.0909090909091,170.727272727273,55.1818181818182,208.818181818182,34.9090909090909,99.5454545454545,79.0909090909091,222.818181818182,212.272727272727,71,104.818181818182,154.727272727273,211.181818181818,41.4545454545455,82.9090909090909,104.181818181818,130.363636363636,136.909090909091,195.636363636364,21.8181818181818,185.636363636364,103.090909090909,42.9090909090909,140.636363636364,206.272727272727,231.727272727273,197.727272727273,182.090909090909,40,35.2727272727273,55,126.636363636364,3.90909090909091,64.8181818181818,122,116.181818181818,67.2727272727273,195.909090909091,157.090909090909,16.4545454545455,161.545454545455,0,155.818181818182,140,183.545454545455,108.636363636364,170.909090909091,4.81818181818182,255,241.090909090909,161.909090909091,10.4545454545455,182.272727272727,133.545454545455,160.818181818182,57.8181818181818,113.181818181818,17.1818181818182,230.727272727273,164.363636363636,53.9090909090909,0,155.272727272727,204.636363636364,52.1818181818182,49.4545454545455,78.0909090909091,204.636363636364,107.545454545455,195.727272727273,91.2727272727273,255,105.363636363636,85,53,62.6363636363636,110.545454545455,138.272727272727,218.181818181818,41.8181818181818,170.090909090909,229.818181818182,230.181818181818,249.636363636364,145.727272727273,171,133.545454545455,0,0,15.4545454545455,255,166.545454545455,238.363636363636,63.4545454545455,167,216.272727272727,2.90909090909091,255,111.272727272727,173.545454545455,62.3636363636364,8.54545454545454,99,178.909090909091,255,58.0909090909091,155.272727272727,42.8181818181818,221.090909090909,61.6363636363636,47.0909090909091,14.1818181818182,0,247.636363636364,64.2727272727273,176.181818181818,6.81818181818182,8.81818181818182,234.454545454545,180.181818181818,77.0909090909091,37.8181818181818,172.454545454545,177.090909090909,237.272727272727,208.909090909091,255,"CR_01",11
156.7,15.4,177.8,50.1,210.9,43,118.4,67.8,222.7,216.4,71.6,111.8,168.9,228.2,32.5,76.5,101.2,147.4,161.3,199.4,40.7,154.9,131.2,59.1,142.1,213,199.2,216.2,211.1,44,30.2,35.1,114.6,5.2,83.4,136.2,60.2,64,204.2,166.2,11.4,144.2,1,192.4,160.4,148.2,92.8,195.3,9.2,255,243.8,194.8,26,137.6,171,146,58.2,101.3,26.1,219.7,135.3,59.9,8.3,163.4,201.8,71.3,64.5,49.8,216.2,67,170.4,130.8,255,104.9,76.1,7.8,52.8,65.7,146.8,250.3,43,112.6,246,249.2,246.3,126.6,164.7,148.7,9,0,21.5,234.9,145.1,241.8,80.4,112.1,197.1,0,245.3,130.7,191.6,97.3,24.1,114.9,205.5,254.4,75.7,177.5,64.1,204.7,39.3,50.7,12.3,0.1,219.1,80,123.9,45.7,8.2,205.7,188,76.5,66.3,135.1,182.5,226.9,195.3,255,"CR_01",10
154.5,14,173.5,45.0833333333333,215.166666666667,38.5,113.416666666667,78.1666666666667,224.166666666667,220.916666666667,60.75,119.083333333333,167.083333333333,233.166666666667,29.75,85.6666666666667,102.333333333333,155.083333333333,145.833333333333,205.833333333333,45.6666666666667,159.166666666667,100.666666666667,48.1666666666667,150.416666666667,202.833333333333,222,230.666666666667,211,34,28.25,29.0833333333333,119.666666666667,0.416666666666667,66.6666666666667,142.25,76.3333333333333,62.4166666666667,197.666666666667,173.25,11.6666666666667,171.583333333333,0,174.166666666667,140.166666666667,161.416666666667,98.5,188.916666666667,4.25,255,236.333333333333,170.166666666667,14.0833333333333,166.083333333333,156.166666666667,160.75,54.75,103.083333333333,21,236,152.833333333333,50.25,1,156.166666666667,190,42.3333333333333,65.5,47.6666666666667,206.25,87.6666666666667,202.583333333333,126,255,108.583333333333,101.75,22.3333333333333,58.5833333333333,89.1666666666667,135,254.333333333333,29.3333333333333,124.666666666667,241.916666666667,244,228.833333333333,141.666666666667,183.5,127.666666666667,10.5,0.833333333333333,13.6666666666667,249,169.583333333333,232.416666666667,69.5833333333333,130.083333333333,214.666666666667,8.75,246.416666666667,149.083333333333,161.5,97.25,15.5833333333333,100,220.083333333333,255,66.8333333333333,190.833333333333,54.3333333333333,192.916666666667,50.9166666666667,104.083333333333,11.1666666666667,2.33333333333333,239.666666666667,41.4166666666667,139.916666666667,1.25,5.16666666666667,219.666666666667,156.416666666667,66,28,174.25,178.666666666667,232.416666666667,184.666666666667,255,"CR_01",12
159.588235294118,14.4117647058824,173.823529411765,66.3529411764706,192.941176470588,59.4117647058824,111.411764705882,52.0588235294118,207.235294117647,198.705882352941,73.2352941176471,95.7647058823529,126.588235294118,199.352941176471,36.1176470588235,81.1764705882353,100.058823529412,139.235294117647,149.058823529412,167.588235294118,46.1764705882353,176.647058823529,142.294117647059,101.117647058824,109.647058823529,169.588235294118,181.294117647059,190.235294117647,191.941176470588,76.6470588235294,11.4705882352941,58.4705882352941,147.117647058824,2.41176470588235,101.058823529412,127,110.705882352941,30.3529411764706,209.529411764706,121.588235294118,57.4117647058824,120.235294117647,4.64705882352941,195.823529411765,169.941176470588,184.352941176471,148.470588235294,180.705882352941,62.7058823529412,255,229.235294117647,134.941176470588,42,128.647058823529,135.058823529412,120.470588235294,119.470588235294,88.8823529411765,49.6470588235294,212.588235294118,127.647058823529,45.2941176470588,7.1764705882353,163.647058823529,209.823529411765,48.6470588235294,131.294117647059,89,223.117647058824,29,201.235294117647,153.352941176471,255,196.235294117647,100.117647058824,46.4705882352941,30.5294117647059,104.176470588235,204.352941176471,178.176470588235,58.6470588235294,167.529411764706,212.117647058824,215.294117647059,191.647058823529,128.235294117647,175,149.823529411765,79.4117647058823,10.6470588235294,28.2352941176471,241.823529411765,148.764705882353,102.470588235294,87.8235294117647,181.411764705882,127.235294117647,29.8823529411765,200.470588235294,141.294117647059,139.764705882353,22.8823529411765,43.4705882352941,99.5294117647059,163.176470588235,254.705882352941,79.5882352941177,180.882352941176,161.294117647059,157.823529411765,97.1176470588235,110.235294117647,2.70588235294118,28.5294117647059,180.176470588235,70.2941176470588,67.1764705882353,91.5294117647059,2.64705882352941,223.823529411765,167.176470588235,152.882352941176,49.8823529411765,128.882352941176,112,166.352941176471,182.176470588235,255,"DK_01",17
158.857142857143,14.4285714285714,174.928571428571,60.9285714285714,192.571428571429,59.2857142857143,109.214285714286,56.5714285714286,222.857142857143,212.714285714286,62.0714285714286,110.714285714286,123.714285714286,207.428571428571,35.7142857142857,97.7857142857143,100.142857142857,144.214285714286,137.928571428571,174.214285714286,55.4285714285714,165.571428571429,136,86.3571428571429,111.142857142857,181.928571428571,197.571428571429,190.285714285714,185.642857142857,62.2857142857143,6.14285714285714,70.5714285714286,167.428571428571,1.14285714285714,78.9285714285714,99.5714285714286,118.142857142857,15.2857142857143,231,149.857142857143,24.5714285714286,134.785714285714,0,184.428571428571,158.714285714286,198.428571428571,147.285714285714,191.285714285714,33.7857142857143,255,246.857142857143,134.571428571429,30.7857142857143,159.5,151.928571428571,144.428571428571,110.642857142857,94.2857142857143,24.7857142857143,230.285714285714,114.857142857143,32.5,3.07142857142857,185.357142857143,236.285714285714,52.1428571428571,103.714285714286,136.071428571429,219,47.5714285714286,196.928571428571,169.214285714286,255,193.285714285714,135.642857142857,23,23.8571428571429,111.285714285714,226.714285714286,195.428571428571,43.0714285714286,197.071428571429,214.714285714286,224.142857142857,212.571428571429,131.071428571429,179.785714285714,127.071428571429,34.0714285714286,0,13.0714285714286,255,159.5,131,49.1428571428571,203.571428571429,180.785714285714,31.7142857142857,236.571428571429,119.785714285714,138.357142857143,27.8571428571429,44.2142857142857,84.5,193.071428571429,255,66.9285714285714,175.857142857143,131.857142857143,183.142857142857,67.2142857142857,72.7857142857143,6.5,5.07142857142857,185.428571428571,33.8571428571429,58.1428571428571,61,4.42857142857143,249.5,161.857142857143,162.142857142857,25.8571428571429,110.428571428571,158.928571428571,228.428571428571,175.642857142857,255,"DK_01",14
160.583333333333,19.6666666666667,169.083333333333,68.5833333333333,200.666666666667,55.5,102.333333333333,56.6666666666667,201.083333333333,206.75,82.75,80.6666666666667,138.416666666667,200.333333333333,61.5833333333333,71.0833333333333,76.3333333333333,137.166666666667,152.166666666667,169.916666666667,39.25,170.083333333333,117.583333333333,70.0833333333333,118.416666666667,186.75,202.083333333333,188.75,167.083333333333,30.4166666666667,12.9166666666667,60.1666666666667,132.583333333333,3.33333333333333,99.25,118.833333333333,115.916666666667,40.3333333333333,206.916666666667,134.666666666667,30.5,107.416666666667,1.91666666666667,187.583333333333,174.916666666667,156.583333333333,112.333333333333,183.75,11.1666666666667,255,239.166666666667,181.166666666667,22.6666666666667,142.833333333333,139.75,149.333333333333,105.5,89.5833333333333,21.6666666666667,206.5,148.333333333333,52.6666666666667,9.41666666666667,206.666666666667,226.833333333333,56.0833333333333,71.25,83,206.833333333333,59.9166666666667,198.5,84.25,253.916666666667,165.083333333333,58.5,45.1666666666667,29.6666666666667,88.25,173,194.333333333333,67.3333333333333,173.916666666667,209,228.583333333333,244.75,144.916666666667,201.083333333333,131.833333333333,37.3333333333333,0,3.41666666666667,253.583333333333,119.666666666667,126.25,51.75,169.166666666667,156.666666666667,30.5,239,94.5833333333333,171.416666666667,11.75,40.1666666666667,68.4166666666667,140.666666666667,255,65,116.333333333333,117.916666666667,173.5,96.5,38.5833333333333,0,17.8333333333333,185.833333333333,45.6666666666667,127.416666666667,56.3333333333333,0,228.333333333333,128.166666666667,104.666666666667,21.6666666666667,146.166666666667,103.5,224.416666666667,251.083333333333,255,"DK_01",12
