"ACI","ADI","AEI","bioindex","duration","Individual","RecorderID"
67.0739591696102,0.689083,0.045051,24.3678383722337,13.888375,"MB_06","M1_20190823_060003"
31.8838179755027,0.686685,0.056781,19.6427723942751,8.8666875,"MB_06","M1_20190823_060003"
65.6654123951584,0.691279,0.030554,20.0326443630211,14.60025,"MB_06","M1_20190823_060003"
64.3154551141269,0.692389,0.01947,24.96113234844,13.594125,"DK_02","M1_20190823_064003"
63.3886656186555,0.692112,0.022749,25.5854900864569,13.4688125,"DK_02","M1_20190823_064003"
63.624604793478,0.692285,0.020762,23.5299035245564,13.2108125,"DK_02","M1_20190823_064003"
63.1770160035485,0.692912,0.01085,19.5755103553828,13.2138125,"DK_02","M1_20190823_064003"
59.1225777611371,0.693144,0.001309,20.1034918484641,13.5249375,"DK_02","M1_20190823_064003"
61.0929170556071,0.690867,0.033755,18.5509907852463,13.5446875,"DK_07","M1_20190823_064003"
59.9009794700617,0.690092,0.039064,19.6158385187898,13.235875,"DK_07","M1_20190823_064003"
62.7055788519958,0.686928,0.055704,18.4067433793535,12.8898125,"DK_07","M1_20190823_064003"
63.1745556778652,0.693001,0.008541,21.3722730277906,13.0833125,"DK_07","M1_20190823_064003"
61.2532916115135,0.69167,0.02717,19.0260586307118,14.0895625,"DK_07","M1_20190823_064003"
90.0717829137446,0.69253,0.017572,18.9691644289072,17.5701875,"DK_09","M1_20190823_064003"
89.3988357517371,0.692646,0.015828,19.7440416649306,15.56425,"DK_09","M1_20190823_064003"
59.9817954546374,0.690786,0.034347,20.1210169368459,13.50075,"DK_09","M1_20190823_064003"
59.0606725529421,0.691309,0.030311,20.3452147684741,14.3911875,"DK_09","M1_20190823_064003"
60.022902322117,0.685988,0.059758,17.7694954512392,13.242,"DK_09","M1_20190823_064003"
59.740866763824,0.692518,0.017735,17.1976753353206,14.4203125,"DV_15","M1_20190823_064003"
93.0303370520111,0.685381,0.062232,18.6174406280467,15.3070625,"DV_15","M1_20190823_064003"
60.4980858130336,0.687573,0.052745,18.6323260209175,13.1603125,"DV_15","M1_20190823_064003"
94.3670235892073,0.68616,0.059036,16.3746856669814,16.7070625,"DV_15","M1_20190823_064003"
93.5725555860738,0.684481,0.065732,19.0027320177822,15.8230625,"DV_15","M1_20190823_064003"
57.757901271266,0.691366,0.029837,18.4384980423479,10.8731875,"DV_17","M1_20190823_064003"
59.8299453078968,0.691623,0.027601,19.9098968004479,10.873625,"DV_17","M1_20190823_064003"
