"great.call","SNR.dB","recorder","wavname"
"M3_20190823_060003_DK_02_021.01_snr14.32",8.85319398902151,"M3","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M3_20190823_060003_DK_02_021.01_snr14.32.wav"
"M3_20190823_060003_DK_02_021.02_snr15.19",9.15508801438055,"M3","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M3_20190823_060003_DK_02_021.02_snr15.19.wav"
"M3_20190823_060003_DK_02_021.03_snr14.62",9.85060020617871,"M3","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M3_20190823_060003_DK_02_021.03_snr14.62.wav"
"M3_20190823_060003_DK_02_021.04_snr13.25",10.0688842031996,"M3","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M3_20190823_060003_DK_02_021.04_snr13.25.wav"
"M3_20190823_060003_DK_02_021.05_snr13.82",11.8726369182453,"M3","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M3_20190823_060003_DK_02_021.05_snr13.82.wav"
"M3_20190823_060003_DK_07_045.01_snr14.48",9.1505161300189,"M3","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M3_20190823_060003_DK_07_045.01_snr14.48.wav"
"M3_20190823_060003_DK_07_045.02_snr13.68",9.73180937461087,"M3","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M3_20190823_060003_DK_07_045.02_snr13.68.wav"
"M3_20190823_060003_DK_07_045.03_snr11.95",7.48344584309846,"M3","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M3_20190823_060003_DK_07_045.03_snr11.95.wav"
"M3_20190823_060003_DK_07_045.04_snr14.51",9.65372345098088,"M3","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M3_20190823_060003_DK_07_045.04_snr14.51.wav"
"M3_20190823_060003_DK_07_045.05_snr13.84",8.52006353715378,"M3","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M3_20190823_060003_DK_07_045.05_snr13.84.wav"
"M3_20190823_060003_DK_09_030.01_snr16.12",9.59526135730006,"M3","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M3_20190823_060003_DK_09_030.01_snr16.12.wav"
"M3_20190823_060003_DK_09_030.02_snr17.94",10.7683342119286,"M3","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M3_20190823_060003_DK_09_030.02_snr17.94.wav"
"M3_20190823_060003_DK_09_030.03_snr15.6",7.9308932035841,"M3","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M3_20190823_060003_DK_09_030.03_snr15.6.wav"
"M3_20190823_060003_DK_09_030.04_snr17.15",8.12684416694782,"M3","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M3_20190823_060003_DK_09_030.04_snr17.15.wav"
"M3_20190823_060003_DK_09_030.05_snr13.95",6.75997269512242,"M3","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M3_20190823_060003_DK_09_030.05_snr13.95.wav"
"M3_20190823_060003_DV_15_013.01_snr15.35",6.72769528861645,"M3","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M3_20190823_060003_DV_15_013.01_snr15.35.wav"
"M3_20190823_060003_DV_15_013.02_snr16.61",8.27550904549711,"M3","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M3_20190823_060003_DV_15_013.02_snr16.61.wav"
"M3_20190823_060003_DV_15_013.03_snr13.28",8.20712984878916,"M3","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M3_20190823_060003_DV_15_013.03_snr13.28.wav"
"M3_20190823_060003_DV_15_013.04_snr14.56",7.19025482843128,"M3","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M3_20190823_060003_DV_15_013.04_snr14.56.wav"
"M3_20190823_060003_DV_15_013.05_snr14.75",6.13457920022141,"M3","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M3_20190823_060003_DV_15_013.05_snr14.75.wav"
"M3_20190823_060003_DV_17_012.01_snr20.03",11.7484876067461,"M3","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M3_20190823_060003_DV_17_012.01_snr20.03.wav"
"M3_20190823_060003_DV_17_012.02_snr21.01",11.9736928795828,"M3","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M3_20190823_060003_DV_17_012.02_snr21.01.wav"
"M3_20190823_060003_DV_17_012.03_snr19.79",9.96830503042728,"M3","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M3_20190823_060003_DV_17_012.03_snr19.79.wav"
"M3_20190823_060003_DV_17_012.04_snr19.26",8.80676783703004,"M3","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M3_20190823_060003_DV_17_012.04_snr19.26.wav"
"M3_20190823_060003_DV_17_012.05_snr19.58",9.03649186222226,"M3","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M3_20190823_060003_DV_17_012.05_snr19.58.wav"
"M3_20190823_060003_DV_19_014.01_snr16.52",9.01680501745387,"M3","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M3_20190823_060003_DV_19_014.01_snr16.52.wav"
"M3_20190823_060003_DV_19_014.02_snr15.46",10.2008269489283,"M3","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M3_20190823_060003_DV_19_014.02_snr15.46.wav"
"M3_20190823_060003_DV_19_014.03_snr17.17",9.94276044443931,"M3","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M3_20190823_060003_DV_19_014.03_snr17.17.wav"
"M3_20190823_060003_DV_19_014.04_snr18.6",7.85585119996996,"M3","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M3_20190823_060003_DV_19_014.04_snr18.6.wav"
"M3_20190823_060003_DV_19_014.05_snr18.68",8.12127807654208,"M3","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M3_20190823_060003_DV_19_014.05_snr18.68.wav"
