"great.call","SNR.dB","recorder","wavname"
"M1_20190823_060003_DK_02_021.01 _snr17.58",16.8074704789407,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_DK_02_021.01 _snr17.58.wav"
"M1_20190823_060003_DK_02_021.02_snr18.58",17.0250526512985,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_DK_02_021.02_snr18.58.wav"
"M1_20190823_060003_DK_02_021.03_snr15.97",17.7594614698092,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_DK_02_021.03_snr15.97.wav"
"M1_20190823_060003_DK_02_021.04_snr15.37",18.5431766481359,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_DK_02_021.04_snr15.37.wav"
"M1_20190823_060003_DK_02_021.05_snr16",19.8980889130846,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_DK_02_021.05_snr16.wav"
"M1_20190823_060003_DK_07_045.01_snr15.87",18.1216727325372,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_DK_07_045.01_snr15.87.wav"
"M1_20190823_060003_DK_07_045.02_snr14.71",18.7446546670216,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_DK_07_045.02_snr14.71.wav"
"M1_20190823_060003_DK_07_045.03_snr11.8",15.8926058053133,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_DK_07_045.03_snr11.8.wav"
"M1_20190823_060003_DK_07_045.04_snr15.65",17.0746637982895,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_DK_07_045.04_snr15.65.wav"
"M1_20190823_060003_DK_07_045.05_snr18.33",18.0228963393714,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_DK_07_045.05_snr18.33.wav"
"M1_20190823_060003_DK_09_030.01_snr22.29",18.4898105067866,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_DK_09_030.01_snr22.29.wav"
"M1_20190823_060003_DK_09_030.02_snr24.58",20.3719599800377,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_DK_09_030.02_snr24.58.wav"
"M1_20190823_060003_DK_09_030.03_snr17.78",17.6567489593341,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_DK_09_030.03_snr17.78.wav"
"M1_20190823_060003_DK_09_030.04_snr20.92",19.2546712740128,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_DK_09_030.04_snr20.92.wav"
"M1_20190823_060003_DK_09_030.05_snr14.34",15.85764335628,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_DK_09_030.05_snr14.34.wav"
"M1_20190823_060003_DV_15_013.01_snr20.53",17.6822799983066,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_DV_15_013.01_snr20.53.wav"
"M1_20190823_060003_DV_15_013.02_snr21.55",18.8750254118703,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_DV_15_013.02_snr21.55.wav"
"M1_20190823_060003_DV_15_013.03_snr13.06",19.944986688844,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_DV_15_013.03_snr13.06.wav"
"M1_20190823_060003_DV_15_013.04_snr15.99",18.2910200141226,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_DV_15_013.04_snr15.99.wav"
"M1_20190823_060003_DV_15_013.05_snr16.65",17.1193579900498,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_DV_15_013.05_snr16.65.wav"
"M1_20190823_060003_DV_17_012.01_snr25.6",21.7820968633987,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_DV_17_012.01_snr25.6.wav"
"M1_20190823_060003_DV_17_012.02_snr27.03",21.5610883026542,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_DV_17_012.02_snr27.03.wav"
"M1_20190823_060003_DV_17_012.03_snr11.23",20.3808899702357,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_DV_17_012.03_snr11.23.wav"
"M1_20190823_060003_DV_17_012.04_snr25.35",18.4795854321744,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_DV_17_012.04_snr25.35.wav"
"M1_20190823_060003_DV_17_012.05_snr25.44",20.542344603536,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_DV_17_012.05_snr25.44.wav"
"M1_20190823_060003_DV_19_014.01_snr22.01",17.3760687301481,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_DV_19_014.01_snr22.01.wav"
"M1_20190823_060003_DV_19_014.02_snr19.59",18.8335322095501,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_DV_19_014.02_snr19.59.wav"
"M1_20190823_060003_DV_19_014.03_snr22.23",18.6543694370151,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_DV_19_014.03_snr22.23.wav"
"M1_20190823_060003_DV_19_014.04_snr22.43",17.2174047457744,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_DV_19_014.04_snr22.43.wav"
"M1_20190823_060003_DV_19_014.05_snr22.82",18.3837952321122,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_DV_19_014.05_snr22.82.wav"
"M1_20190823_060003_IC_02_041.01_snr25.16",18.5095112989711,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_IC_02_041.01_snr25.16.wav"
"M1_20190823_060003_IC_02_041.02_snr26.94",21.392643491938,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_IC_02_041.02_snr26.94.wav"
"M1_20190823_060003_IC_02_041.03_snr27.18",21.2654019665371,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_IC_02_041.03_snr27.18.wav"
"M1_20190823_060003_IC_02_041.04_snr26.66",20.4713929278253,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_IC_02_041.04_snr26.66.wav"
"M1_20190823_060003_IC_02_041.06_snr24.84",18.3167880236142,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_IC_02_041.06_snr24.84.wav"
"M1_20190823_060003_IC_07_055.01_snr26.49",20.7675047100164,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_IC_07_055.01_snr26.49.wav"
"M1_20190823_060003_IC_07_055.02_snr26.14",19.1233675404967,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_IC_07_055.02_snr26.14.wav"
"M1_20190823_060003_IC_07_055.03_snr25.56",19.3159322727307,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_IC_07_055.03_snr25.56.wav"
"M1_20190823_060003_IC_07_055.04_snr26.32",17.9777734083963,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_IC_07_055.04_snr26.32.wav"
"M1_20190823_060003_IC_07_055.05_snr27.65",22.8177039432701,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_IC_07_055.05_snr27.65.wav"
"M1_20190823_060003_IC_08_018.01_snr27.19",22.8782262982732,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_IC_08_018.01_snr27.19.wav"
"M1_20190823_060003_IC_08_018.02_snr25.22",18.298950388959,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_IC_08_018.02_snr25.22.wav"
"M1_20190823_060003_IC_08_018.03_snr26.64",20.2840167945046,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_IC_08_018.03_snr26.64.wav"
"M1_20190823_060003_IC_08_018.04_snr25.45",17.186629837915,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_IC_08_018.04_snr25.45.wav"
"M1_20190823_060003_IC_08_018.05_snr26.38",19.9347071323758,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_IC_08_018.05_snr26.38.wav"
"M1_20190823_060003_MB_01_564.01_snr23.31",16.7849812518194,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_MB_01_564.01_snr23.31.wav"
"M1_20190823_060003_MB_01_564.02_snr22.71",17.8013829078038,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_MB_01_564.02_snr22.71.wav"
"M1_20190823_060003_MB_01_564.03_snr24.17",18.768331671411,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_MB_01_564.03_snr24.17.wav"
"M1_20190823_060003_MB_01_564.04_snr23.48",17.799209259523,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_MB_01_564.04_snr23.48.wav"
"M1_20190823_060003_MB_01_564.05_snr24.18",16.9371683993773,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_MB_01_564.05_snr24.18.wav"
"M1_20190823_060003_MB_05_109.01_snr17.02",19.4752339967128,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_MB_05_109.01_snr17.02.wav"
"M1_20190823_060003_MB_05_109.02_snr12.28",16.494053625345,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_MB_05_109.02_snr12.28.wav"
"M1_20190823_060003_MB_05_109.03_snr23.35",17.7454751767048,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_MB_05_109.03_snr23.35.wav"
"M1_20190823_060003_MB_05_109.04_snr22.71",20.2570136254057,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_MB_05_109.04_snr22.71.wav"
"M1_20190823_060003_MB_05_109.05_snr22.27",19.640481981609,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_MB_05_109.05_snr22.27.wav"
"M1_20190823_060003_MB_06_110.01_snr22.87",17.5366894095916,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_MB_06_110.01_snr22.87.wav"
"M1_20190823_060003_MB_06_110.02_snr19.81",14.6238987963047,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_MB_06_110.02_snr19.81.wav"
"M1_20190823_060003_MB_06_110.03_snr18.83",16.5806151260953,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_MB_06_110.03_snr18.83.wav"
"M1_20190823_060003_MB_06_110.04_snr23.5",15.7882060886002,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_MB_06_110.04_snr23.5.wav"
"M1_20190823_060003_MB_06_110.05_snr19.2",14.7129820575545,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_060003_MB_06_110.05_snr19.2.wav"
"M1_20190823_064003_DK_02_021.01_snr17.51",16.9053623971696,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_064003_DK_02_021.01_snr17.51.wav"
"M1_20190823_064003_DK_02_021.02_snr18.47",16.5341006240158,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_064003_DK_02_021.02_snr18.47.wav"
"M1_20190823_064003_DK_02_021.03_snr16.49",17.3340068169641,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_064003_DK_02_021.03_snr16.49.wav"
"M1_20190823_064003_DK_02_021.04_snr13.66",18.2554941525918,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_064003_DK_02_021.04_snr13.66.wav"
"M1_20190823_064003_DK_02_021.05_snr16.3",19.1839050856956,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_064003_DK_02_021.05_snr16.3.wav"
"M1_20190823_064003_DK_07_045.01_snr16.33",17.9130850080063,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_064003_DK_07_045.01_snr16.33.wav"
"M1_20190823_064003_DK_07_045.02_snr15.38",18.5349664885566,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_064003_DK_07_045.02_snr15.38.wav"
"M1_20190823_064003_DK_07_045.03_snr15.39",15.4936857835668,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_064003_DK_07_045.03_snr15.39.wav"
"M1_20190823_064003_DK_07_045.04_snr15.97",17.0305494524847,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_064003_DK_07_045.04_snr15.97.wav"
"M1_20190823_064003_DK_07_045.05_snr18.09",16.9694750009065,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_064003_DK_07_045.05_snr18.09.wav"
"M1_20190823_064003_DK_09_030.01_snr21.97",18.0552654854369,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_064003_DK_09_030.01_snr21.97.wav"
"M1_20190823_064003_DK_09_030.02_snr23.78",20.1667679093814,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_064003_DK_09_030.02_snr23.78.wav"
"M1_20190823_064003_DK_09_030.03_snr19.42",17.7959594294474,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_064003_DK_09_030.03_snr19.42.wav"
"M1_20190823_064003_DK_09_030.04_snr21.2",18.8541380049274,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_064003_DK_09_030.04_snr21.2.wav"
"M1_20190823_064003_DK_09_030.05_snr16.59",16.2019196842295,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_064003_DK_09_030.05_snr16.59.wav"
"M1_20190823_064003_DV_15_013.01_snr20.62",16.8241724893832,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_064003_DV_15_013.01_snr20.62.wav"
"M1_20190823_064003_DV_15_013.02_snr21.32",18.261410031253,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_064003_DV_15_013.02_snr21.32.wav"
"M1_20190823_064003_DV_15_013.03_snr14.74",20.0266744276706,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_064003_DV_15_013.03_snr14.74.wav"
"M1_20190823_064003_DV_15_013.04_snr16.08",17.9846101988428,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_064003_DV_15_013.04_snr16.08.wav"
"M1_20190823_064003_DV_15_013.05_snr16.75",15.9614663020411,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_064003_DV_15_013.05_snr16.75.wav"
"M1_20190823_064003_DV_17_012.01_snr25.19",20.3460000375859,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_064003_DV_17_012.01_snr25.19.wav"
"M1_20190823_064003_DV_17_012.02_snr26.67",21.2033884604926,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_064003_DV_17_012.02_snr26.67.wav"
"M1_20190823_064003_DV_17_012.03_snr25.46",20.7974839314432,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_064003_DV_17_012.03_snr25.46.wav"
"M1_20190823_064003_DV_17_012.04_snr25.26",18.392567596713,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_064003_DV_17_012.04_snr25.26.wav"
"M1_20190823_064003_DV_17_012.05_snr25.44",20.4233269689564,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_064003_DV_17_012.05_snr25.44.wav"
"M1_20190823_064003_DV_19_014.01_snr21.86",16.6798829133651,"M1","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M1_20190823_064003_DV_19_014.01_snr21.86.wav"
