"great.call","SNR.dB","recorder","wavname"
"M4_20190823_060003_DK_02_021.01_snr13.93",6.69606187206232,"M4","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M4_20190823_060003_DK_02_021.01_snr13.93.wav"
"M4_20190823_060003_DK_02_021.02_snr14.55",4.75513998227281,"M4","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M4_20190823_060003_DK_02_021.02_snr14.55.wav"
"M4_20190823_060003_DK_02_021.03_snr14.62",5.44727276360565,"M4","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M4_20190823_060003_DK_02_021.03_snr14.62.wav"
"M4_20190823_060003_DK_02_021.04_snr13.23",5.9653625076579,"M4","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M4_20190823_060003_DK_02_021.04_snr13.23.wav"
"M4_20190823_060003_DK_02_021.05_snr14.91",7.40294739522476,"M4","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M4_20190823_060003_DK_02_021.05_snr14.91.wav"
"M4_20190823_060003_DK_07_045.01_snr13.99",6.4559900724435,"M4","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M4_20190823_060003_DK_07_045.01_snr13.99.wav"
"M4_20190823_060003_DK_07_045.02_snr15.33",8.05536035381953,"M4","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M4_20190823_060003_DK_07_045.02_snr15.33.wav"
"M4_20190823_060003_DK_07_045.03_snr19.08",6.10741810528259,"M4","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M4_20190823_060003_DK_07_045.03_snr19.08.wav"
"M4_20190823_060003_DK_07_045.04_snr14.7",7.06042302962133,"M4","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M4_20190823_060003_DK_07_045.04_snr14.7.wav"
"M4_20190823_060003_DK_07_045.05_snr15.26",5.90846214770603,"M4","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M4_20190823_060003_DK_07_045.05_snr15.26.wav"
"M4_20190823_060003_DK_09_030.01_snr16.33",6.7531865621346,"M4","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M4_20190823_060003_DK_09_030.01_snr16.33.wav"
"M4_20190823_060003_DK_09_030.02_snr17.75",8.555744907156,"M4","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M4_20190823_060003_DK_09_030.02_snr17.75.wav"
"M4_20190823_060003_DK_09_030.03_snr16.47",4.95210207395755,"M4","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M4_20190823_060003_DK_09_030.03_snr16.47.wav"
"M4_20190823_060003_DK_09_030.04_snr17.56",4.88520795316018,"M4","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M4_20190823_060003_DK_09_030.04_snr17.56.wav"
"M4_20190823_060003_DK_09_030.05_snr14.74",3.06284549494711,"M4","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M4_20190823_060003_DK_09_030.05_snr14.74.wav"
"M4_20190823_060003_DV_15_013.01_snr16.7",1.69754060738904,"M4","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M4_20190823_060003_DV_15_013.01_snr16.7.wav"
"M4_20190823_060003_DV_15_013.02_snr17.49",4.27171623130476,"M4","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M4_20190823_060003_DV_15_013.02_snr17.49.wav"
"M4_20190823_060003_DV_15_013.03_snr16.25",4.08320976131986,"M4","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M4_20190823_060003_DV_15_013.03_snr16.25.wav"
"M4_20190823_060003_DV_15_013.04_snr15.78",2.9537653586187,"M4","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M4_20190823_060003_DV_15_013.04_snr15.78.wav"
"M4_20190823_060003_DV_15_013.05_snr15.65",2.07456963536604,"M4","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M4_20190823_060003_DV_15_013.05_snr15.65.wav"
"M4_20190823_060003_DV_17_012.01_snr19.59",7.74982147964039,"M4","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M4_20190823_060003_DV_17_012.01_snr19.59.wav"
"M4_20190823_060003_DV_17_012.02_snr20.85",7.41952141221885,"M4","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M4_20190823_060003_DV_17_012.02_snr20.85.wav"
"M4_20190823_060003_DV_17_012.03_snr19.99",7.22990188362867,"M4","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M4_20190823_060003_DV_17_012.03_snr19.99.wav"
"M4_20190823_060003_DV_17_012.04_snr18.89",3.3833092529449,"M4","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M4_20190823_060003_DV_17_012.04_snr18.89.wav"
"M4_20190823_060003_DV_17_012.05_snr19.53",4.85260815494508,"M4","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M4_20190823_060003_DV_17_012.05_snr19.53.wav"
"M4_20190823_060003_DV_19_014.01_snr17.18",4.58257843905446,"M4","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M4_20190823_060003_DV_19_014.01_snr17.18.wav"
