"great.call","SNR.dB","recorder","wavname"
"M6_20190823_060006_DK_02_021.01_snr12.99",-2.28003175441914,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_DK_02_021.01_snr12.99.wav"
"M6_20190823_060006_DK_02_021.02_snr12.98",-2.77330113125727,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_DK_02_021.02_snr12.98.wav"
"M6_20190823_060006_DK_02_021.03_snr13.6",-2.97777461099247,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_DK_02_021.03_snr13.6.wav"
"M6_20190823_060006_DK_02_021.04_snr13.17",-1.84558708755397,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_DK_02_021.04_snr13.17.wav"
"M6_20190823_060006_DK_02_021.05_snr13.1",-1.22827896265416,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_DK_02_021.05_snr13.1.wav"
"M6_20190823_060006_DK_07_045.01_snr12.99",-3.44323307551951,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_DK_07_045.01_snr12.99.wav"
"M6_20190823_060006_DK_07_045.02_snr11.2",0.30303391857865,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_DK_07_045.02_snr11.2.wav"
"M6_20190823_060006_DK_07_045.03_snr14.91",-2.86264604078545,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_DK_07_045.03_snr14.91.wav"
"M6_20190823_060006_DK_07_045.04_snr13.79",-3.93530741225373,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_DK_07_045.04_snr13.79.wav"
"M6_20190823_060006_DK_07_045.05_snr13.05",-3.22919086118993,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_DK_07_045.05_snr13.05.wav"
"M6_20190823_060006_DK_09_030.01_snr14.18",3.41331969927528,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_DK_09_030.01_snr14.18.wav"
"M6_20190823_060006_DK_09_030.02_snr15.88",-2.35481906205343,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_DK_09_030.02_snr15.88.wav"
"M6_20190823_060006_DK_09_030.03_snr16.54",1.51917985233442,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_DK_09_030.03_snr16.54.wav"
"M6_20190823_060006_DK_09_030.04_snr15.82",0.218024381415826,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_DK_09_030.04_snr15.82.wav"
"M6_20190823_060006_DK_09_030.05_snr19.42",1.58010938779353,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_DK_09_030.05_snr19.42.wav"
"M6_20190823_060006_DV_15_013.01_snr17.46",-3.87788961232914,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_DV_15_013.01_snr17.46.wav"
"M6_20190823_060006_DV_15_013.02_snr19.67",-3.15336736078284,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_DV_15_013.02_snr19.67.wav"
"M6_20190823_060006_DV_15_013.03_snr20.06",0.707437732823259,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_DV_15_013.03_snr20.06.wav"
"M6_20190823_060006_DV_15_013.04_snr17.63",-0.610898832566892,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_DV_15_013.04_snr17.63.wav"
"M6_20190823_060006_DV_15_013.05_snr17.57",1.08881997759059,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_DV_15_013.05_snr17.57.wav"
"M6_20190823_060006_DV_17_012.01_snr15.23",1.37935395270308,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_DV_17_012.01_snr15.23.wav"
"M6_20190823_060006_DV_17_012.02_snr15.54",-0.314545100151983,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_DV_17_012.02_snr15.54.wav"
"M6_20190823_060006_DV_17_012.03_snr11.73",7.8919411343168,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_DV_17_012.03_snr11.73.wav"
"M6_20190823_060006_DV_17_012.04_snr14.68",-0.292732004478856,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_DV_17_012.04_snr14.68.wav"
"M6_20190823_060006_DV_17_012.05_snr14.89",1.6676854346523,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_DV_17_012.05_snr14.89.wav"
"M6_20190823_060006_DV_19_014.01_snr13.01",6.90945350951387,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_DV_19_014.01_snr13.01.wav"
"M6_20190823_060006_DV_19_014.02_snr12.98",-0.810299630588442,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_DV_19_014.02_snr12.98.wav"
"M6_20190823_060006_DV_19_014.03_snr12.14",5.48067615982946,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_DV_19_014.03_snr12.14.wav"
"M6_20190823_060006_DV_19_014.04_snr23.47",3.79851709074518,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_DV_19_014.04_snr23.47.wav"
"M6_20190823_060006_DV_19_014.05_snr13.85",-0.622301408505567,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_DV_19_014.05_snr13.85.wav"
"M6_20190823_060006_IC_02_041.01_snr17.88",5.0057220193224,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_IC_02_041.01_snr17.88.wav"
"M6_20190823_060006_IC_02_041.02_snr14.99",0.759802119976536,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_IC_02_041.02_snr14.99.wav"
"M6_20190823_060006_IC_02_041.03_snr18.57",3.45471611808517,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_IC_02_041.03_snr18.57.wav"
"M6_20190823_060006_IC_02_041.04_snr16.87",2.31942683901547,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_IC_02_041.04_snr16.87.wav"
"M6_20190823_060006_IC_02_041.06_snr21.13",6.32157157545532,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_IC_02_041.06_snr21.13.wav"
"M6_20190823_060006_IC_07_055.01_snr14.52",1.58215651118362,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_IC_07_055.01_snr14.52.wav"
"M6_20190823_060006_IC_07_055.02_snr17.06",0.175744575037746,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_IC_07_055.02_snr17.06.wav"
"M6_20190823_060006_IC_07_055.03_snr19.93",6.4411702314232,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_IC_07_055.03_snr19.93.wav"
"M6_20190823_060006_IC_07_055.04_snr16.6",2.75856637961464,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_IC_07_055.04_snr16.6.wav"
"M6_20190823_060006_IC_07_055.05_snr14.34",-2.63917698095561,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_IC_07_055.05_snr14.34.wav"
"M6_20190823_060006_IC_08_018.01_snr13.9",-2.03481670431177,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_IC_08_018.01_snr13.9.wav"
"M6_20190823_060006_IC_08_018.02_snr16.64",8.54424452417081,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_IC_08_018.02_snr16.64.wav"
"M6_20190823_060006_IC_08_018.03_snr17.85",8.12059025985169,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_IC_08_018.03_snr17.85.wav"
"M6_20190823_060006_IC_08_018.04_snr13.95",-1.42275965107202,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_IC_08_018.04_snr13.95.wav"
"M6_20190823_060006_IC_08_018.05_snr14.84",2.77489179235992,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_IC_08_018.05_snr14.84.wav"
"M6_20190823_060006_MB_01_564.01_snr16.84",7.4474594775733,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_MB_01_564.01_snr16.84.wav"
"M6_20190823_060006_MB_01_564.02_snr13.98",-1.08659416817175,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_MB_01_564.02_snr13.98.wav"
"M6_20190823_060006_MB_01_564.03_snr14.8",0.476753542191344,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_MB_01_564.03_snr14.8.wav"
"M6_20190823_060006_MB_01_564.04_snr17.84",7.22632622030171,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_MB_01_564.04_snr17.84.wav"
"M6_20190823_060006_MB_01_564.05_snr14.13",-3.13842252658186,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_MB_01_564.05_snr14.13.wav"
"M6_20190823_060006_MB_05_109.01_snr11.25",-0.515231716979139,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_MB_05_109.01_snr11.25.wav"
"M6_20190823_060006_MB_05_109.02_snr13.08",-0.748682959567664,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_MB_05_109.02_snr13.08.wav"
"M6_20190823_060006_MB_05_109.03_snr12.31",-1.19580911569946,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_MB_05_109.03_snr12.31.wav"
"M6_20190823_060006_MB_05_109.04_snr12.27",-2.5951259662079,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_MB_05_109.04_snr12.27.wav"
"M6_20190823_060006_MB_05_109.05_snr11.57",-2.72444320844165,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_MB_05_109.05_snr11.57.wav"
"M6_20190823_060006_MB_06_110.01_snr12.6",-5.5363688222809,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_MB_06_110.01_snr12.6.wav"
"M6_20190823_060006_MB_06_110.02_snr12.39",-3.84781991086459,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_MB_06_110.02_snr12.39.wav"
"M6_20190823_060006_MB_06_110.03_snr12.82",-1.77233529999349,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_MB_06_110.03_snr12.82.wav"
"M6_20190823_060006_MB_06_110.04_snr13.62",-0.221549405692399,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_MB_06_110.04_snr13.62.wav"
"M6_20190823_060006_MB_06_110.05_snr15.42",-2.27096343442524,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_060006_MB_06_110.05_snr15.42.wav"
"M6_20190823_064007_DK_02_021.01_snr12.01",-2.033634136153,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_064007_DK_02_021.01_snr12.01.wav"
"M6_20190823_064007_DK_02_021.02_snr10.98",-2.1405049468669,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_064007_DK_02_021.02_snr10.98.wav"
"M6_20190823_064007_DK_02_021.03_snr10.79",-1.5595309002543,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_064007_DK_02_021.03_snr10.79.wav"
"M6_20190823_064007_DK_02_021.04_snr11.79",-0.778096669668735,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_064007_DK_02_021.04_snr11.79.wav"
"M6_20190823_064007_DK_02_021.05_snr11.25",0.816225601204408,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_064007_DK_02_021.05_snr11.25.wav"
"M6_20190823_064007_DK_07_045.01_snr12.21",-0.991309021973494,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_064007_DK_07_045.01_snr12.21.wav"
"M6_20190823_064007_DK_07_045.02_snr11.24",-1.87420670162377,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_064007_DK_07_045.02_snr11.24.wav"
"M6_20190823_064007_DK_07_045.03_snr12.05",2.49207176144239,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_064007_DK_07_045.03_snr12.05.wav"
"M6_20190823_064007_DK_07_045.04_snr12.99",-2.22066872405484,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_064007_DK_07_045.04_snr12.99.wav"
"M6_20190823_064007_DK_07_045.05_snr13.04",1.16547952432243,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_064007_DK_07_045.05_snr13.04.wav"
"M6_20190823_064007_DK_09_030.01_snr12.68",-0.473865184115157,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_064007_DK_09_030.01_snr12.68.wav"
"M6_20190823_064007_DK_09_030.02_snr13.29",0.294712424205431,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_064007_DK_09_030.02_snr13.29.wav"
"M6_20190823_064007_DK_09_030.03_snr10.94",-2.11900580856303,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_064007_DK_09_030.03_snr10.94.wav"
"M6_20190823_064007_DK_09_030.04_snr13.04",-0.13811478956951,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_064007_DK_09_030.04_snr13.04.wav"
"M6_20190823_064007_DK_09_030.05_snr13.63",-1.20652923101321,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_064007_DK_09_030.05_snr13.63.wav"
"M6_20190823_064007_DV_15_013.01_snr14.89",1.50544434786828,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_064007_DV_15_013.01_snr14.89.wav"
"M6_20190823_064007_DV_15_013.02_snr14.09",1.04552060599195,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_064007_DV_15_013.02_snr14.09.wav"
"M6_20190823_064007_DV_15_013.03_snr11.49",1.49047506652719,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_064007_DV_15_013.03_snr11.49.wav"
"M6_20190823_064007_DV_15_013.04_snr15.76",-0.250017011282719,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_064007_DV_15_013.04_snr15.76.wav"
"M6_20190823_064007_DV_15_013.05_snr12.92",-0.264987235667112,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_064007_DV_15_013.05_snr12.92.wav"
"M6_20190823_064007_DV_17_012.01_snr14.86",4.87182787346686,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_064007_DV_17_012.01_snr14.86.wav"
"M6_20190823_064007_DV_17_012.02_snr13.55",0.0743408043981757,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_064007_DV_17_012.02_snr13.55.wav"
"M6_20190823_064007_DV_17_012.03_snr14.14",4.83423526019567,"M6","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M6_20190823_064007_DV_17_012.03_snr14.14.wav"
