"great.call","SNR.dB","recorder","wavname"
"M2_20190823_060003_DK_02_021.01_snr16.28",13.1494819825777,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_DK_02_021.01_snr16.28.wav"
"M2_20190823_060003_DK_02_021.02_snr17.13",12.6991231843845,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_DK_02_021.02_snr17.13.wav"
"M2_20190823_060003_DK_02_021.03_snr14.91",13.8622982468356,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_DK_02_021.03_snr14.91.wav"
"M2_20190823_060003_DK_02_021.04_snr12.61",14.1054421835395,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_DK_02_021.04_snr12.61.wav"
"M2_20190823_060003_DK_02_021.05_snr14.95",15.4420999292647,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_DK_02_021.05_snr14.95.wav"
"M2_20190823_060003_DK_07_045.01_snr14.21",14.2372224151713,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_DK_07_045.01_snr14.21.wav"
"M2_20190823_060003_DK_07_045.02_snr14.26",15.3965118967077,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_DK_07_045.02_snr14.26.wav"
"M2_20190823_060003_DK_07_045.03_snr13.44",10.5179468828065,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_DK_07_045.03_snr13.44.wav"
"M2_20190823_060003_DK_07_045.04_snr15.68",13.336924579394,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_DK_07_045.04_snr15.68.wav"
"M2_20190823_060003_DK_07_045.05_snr14.54",12.3013803844623,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_DK_07_045.05_snr14.54.wav"
"M2_20190823_060003_DK_09_030.01_snr18.73",12.6583563032259,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_DK_09_030.01_snr18.73.wav"
"M2_20190823_060003_DK_09_030.02_snr20.43",13.690736121747,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_DK_09_030.02_snr20.43.wav"
"M2_20190823_060003_DK_09_030.03_snr17.09",11.9519356504106,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_DK_09_030.03_snr17.09.wav"
"M2_20190823_060003_DK_09_030.04_snr18.82",14.0687117587643,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_DK_09_030.04_snr18.82.wav"
"M2_20190823_060003_DK_09_030.05_snr12.55",12.5885720168782,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_DK_09_030.05_snr12.55.wav"
"M2_20190823_060003_DV_15_013.01_snr17.43",13.1598400721778,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_DV_15_013.01_snr17.43.wav"
"M2_20190823_060003_DV_15_013.02_snr19.08",14.6088553821894,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_DV_15_013.02_snr19.08.wav"
"M2_20190823_060003_DV_15_013.03_snr12.63",15.2965312120705,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_DV_15_013.03_snr12.63.wav"
"M2_20190823_060003_DV_15_013.04_snr14.45",14.182691652755,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_DV_15_013.04_snr14.45.wav"
"M2_20190823_060003_DV_15_013.05_snr15.19",11.4371735150621,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_DV_15_013.05_snr15.19.wav"
"M2_20190823_060003_DV_17_012.01_snr23.01",16.0937527303239,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_DV_17_012.01_snr23.01.wav"
"M2_20190823_060003_DV_17_012.02_snr23.72",18.243377763486,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_DV_17_012.02_snr23.72.wav"
"M2_20190823_060003_DV_17_012.03_snr23.5",17.3416860367056,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_DV_17_012.03_snr23.5.wav"
"M2_20190823_060003_DV_17_012.04_snr22.96",14.97654107829,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_DV_17_012.04_snr22.96.wav"
"M2_20190823_060003_DV_17_012.05_snr22.96",16.8100321486107,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_DV_17_012.05_snr22.96.wav"
"M2_20190823_060003_DV_19_014.01_snr18.3",13.2936782116748,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_DV_19_014.01_snr18.3.wav"
"M2_20190823_060003_DV_19_014.02_snr17.7",11.3193582498703,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_DV_19_014.02_snr17.7.wav"
"M2_20190823_060003_DV_19_014.03_snr19.43",15.5336843584527,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_DV_19_014.03_snr19.43.wav"
"M2_20190823_060003_DV_19_014.04_snr19.63",13.6864618398736,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_DV_19_014.04_snr19.63.wav"
"M2_20190823_060003_DV_19_014.05_snr20.09",12.9355795257655,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_DV_19_014.05_snr20.09.wav"
"M2_20190823_060003_IC_02_041.01_snr22.67",14.36352725389,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_IC_02_041.01_snr22.67.wav"
"M2_20190823_060003_IC_02_041.02_snr24.05",17.3186280085035,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_IC_02_041.02_snr24.05.wav"
"M2_20190823_060003_IC_02_041.03_snr24.46",17.1575046490401,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_IC_02_041.03_snr24.46.wav"
"M2_20190823_060003_IC_02_041.04_snr23.91",15.9592019701399,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_IC_02_041.04_snr23.91.wav"
"M2_20190823_060003_IC_02_041.06_snr22.02",13.3868823935028,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_IC_02_041.06_snr22.02.wav"
"M2_20190823_060003_IC_07_055.01_snr23.62",16.5108615361639,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_IC_07_055.01_snr23.62.wav"
"M2_20190823_060003_IC_07_055.02_snr23.61",16.4994885243641,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_IC_07_055.02_snr23.61.wav"
"M2_20190823_060003_IC_07_055.03_snr22.39",14.8369239230628,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_IC_07_055.03_snr22.39.wav"
"M2_20190823_060003_IC_07_055.04_snr23.08",14.5958710876608,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_IC_07_055.04_snr23.08.wav"
"M2_20190823_060003_IC_07_055.05_snr25",17.7570442279092,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_IC_07_055.05_snr25.wav"
"M2_20190823_060003_IC_08_018.01_snr24.13",18.6869533319659,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_IC_08_018.01_snr24.13.wav"
"M2_20190823_060003_IC_08_018.02_snr22.35",13.0527590546653,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_IC_08_018.02_snr22.35.wav"
"M2_20190823_060003_IC_08_018.03_snr23.6",16.213805291275,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_IC_08_018.03_snr23.6.wav"
"M2_20190823_060003_IC_08_018.04_snr22.82",14.4756188631421,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_IC_08_018.04_snr22.82.wav"
"M2_20190823_060003_IC_08_018.05_snr23.36",16.818137278815,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_IC_08_018.05_snr23.36.wav"
"M2_20190823_060003_MB_01_564.01_snr21.62",15.0209675100425,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_MB_01_564.01_snr21.62.wav"
"M2_20190823_060003_MB_01_564.02_snr20.74",14.7874048019383,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_MB_01_564.02_snr20.74.wav"
"M2_20190823_060003_MB_01_564.03_snr22.17",15.3607867518417,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_MB_01_564.03_snr22.17.wav"
"M2_20190823_060003_MB_01_564.04_snr21.22",14.8405135867422,"M2","/Volumes/DJC 1TB/VocalIndividualityClips/SoundFilesSNR/M2_20190823_060003_MB_01_564.04_snr21.22.wav"
